City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
267,Iqaluit,CA,63.7506,-68.5145,52.7,76,90,1.99,light rain
268,Chilca,PE,-12.5211,-76.7372,64.62,87,16,7.47,few clouds
269,Esperance,AU,-33.8667,121.9,53.35,67,65,21.34,broken clouds
270,Kisangani,CD,0.5167,25.2,72.37,89,100,2.68,overcast clouds
271,Lewistown,US,40.5992,-77.5714,70.48,88,1,3.44,clear sky
272,Rantepao,ID,-2.9701,119.8978,67.8,96,95,1.1,overcast clouds
273,Namatanai,PG,-3.6667,152.4333,82.49,74,14,5.77,few clouds
274,Yulara,AU,-25.2406,130.9889,51.64,43,0,10.36,clear sky
275,Sarangani,PH,5.4033,125.4636,83.35,75,95,12.15,light rain
276,Vyartsilya,RU,62.1764,30.693,54.59,98,7,4.7,clear sky
277,Aykhal,RU,66.0,111.5,71.15,37,59,5.41,broken clouds
278,Ust-Ishim,RU,57.6935,71.1665,61.43,99,83,4.97,broken clouds
279,Stokmarknes,NO,68.5646,14.9108,49.5,87,75,12.66,shower rain
280,Toba,JP,34.4833,136.85,85.32,75,66,8.66,broken clouds
281,Plouzane,FR,48.3833,-4.6167,60.85,91,90,0.0,overcast clouds
282,Morgan City,US,29.6994,-91.2068,91.4,70,90,6.98,overcast clouds
283,Cabo San Lucas,MX,22.8909,-109.9124,99.52,67,20,5.99,few clouds
284,Harnai,PK,30.1005,67.9374,86.11,50,7,1.19,clear sky
285,Sawakin,SD,19.1059,37.3321,93.47,46,15,20.62,few clouds
286,Turayf,SA,31.6725,38.6637,79.05,44,0,9.22,clear sky
287,Coos Bay,US,43.3665,-124.2179,100.85,86,1,17.27,clear sky
288,Ugoofaaru,MV,5.6667,73.0,82.35,77,98,12.26,overcast clouds
289,Larap,PH,14.299,122.6504,80.67,83,100,8.1,light rain
290,Teya,RU,60.3778,92.6267,58.17,79,98,2.44,overcast clouds
291,Loviisa,FI,60.4566,26.2251,59.45,82,58,8.46,broken clouds
292,Boysun,UZ,38.2061,67.1986,71.62,29,0,5.17,clear sky
293,Aninoasa,RO,44.9667,25.4333,72.68,46,4,4.9,clear sky
294,Nome,US,64.5011,-165.4064,55.17,94,90,13.8,moderate rain
295,Hornepayne,CA,49.2138,-84.7705,66.76,50,45,6.55,scattered clouds
296,Skibotn,NO,69.3913,20.2679,46.49,89,89,4.07,overcast clouds
297,Oranjestad,AW,12.524,-70.027,84.15,74,20,25.32,few clouds
298,Lompoc,US,34.6391,-120.4579,90.12,63,1,11.01,clear sky
299,Shumikha,RU,55.2261,63.2961,60.42,78,56,7.29,broken clouds
300,Jalu,LY,29.0331,21.5482,85.87,26,3,10.76,clear sky
301,Ketchikan,US,55.3422,-131.6461,70.27,64,1,8.05,clear sky
302,Arkhangelsk,RU,64.5401,40.5433,60.91,94,40,4.47,light rain
303,Amahai,ID,-3.3333,128.9167,78.58,84,20,1.95,few clouds
304,Kaitangata,NZ,-46.2817,169.8464,47.73,90,46,4.07,scattered clouds
305,Hue,VN,16.4667,107.6,86.11,62,40,3.44,scattered clouds
306,Timra,SE,62.487,17.3257,57.67,60,90,11.5,heavy intensity rain
307,Luderitz,NA,-26.6481,15.1594,64.96,37,0,6.02,clear sky
308,Ribeira Grande,PT,38.5167,-28.7,73.18,94,63,13.49,broken clouds
309,Waingapu,ID,-9.6567,120.2641,76.21,79,31,7.61,scattered clouds
310,Gombong,ID,-7.6072,109.5142,73.26,90,52,3.47,broken clouds
311,Kaspiyskiy,RU,45.3929,47.3707,78.91,66,13,6.42,few clouds
312,Nurobod,UZ,40.9056,69.8023,74.25,25,99,3.0,overcast clouds
313,Dabakala,CI,8.3667,-4.4333,71.82,92,71,4.72,broken clouds
314,Banjarmasin,ID,-3.3244,114.591,73.54,87,96,2.15,overcast clouds
315,Manzanillo,CU,20.3433,-77.1167,83.95,78,30,4.76,moderate rain
316,Tombouctou,ML,20.0,-3.0,94.46,30,9,6.69,clear sky
317,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,95,89,8.72,overcast clouds
318,Erzin,TR,36.9559,36.2,79.52,74,0,1.34,clear sky
319,Placido De Castro,BR,-10.3353,-67.1856,78.91,37,0,3.91,clear sky
320,Nelson Bay,AU,-32.7167,152.15,59.77,80,87,9.55,overcast clouds
321,Hun,LY,29.1268,15.9477,84.47,24,0,3.53,clear sky
